 "Ndis", "ApproxLux"
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    92, 41246.0879
    92, 41246.0879
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    91, 42134.5453
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    91, 42134.5453
    92, 41246.0879
    92, 41246.0879
    91, 42134.5453
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    92, 41246.0879
    93, 40385.6685
    93, 40385.6685
    92, 41246.0879
    93, 40385.6685
    92, 41246.0879
    93, 40385.6685
    92, 41246.0879
    93, 40385.6685
    92, 41246.0879
    92, 41246.0879
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    93, 40385.6685
    94, 39552.1150
    94, 39552.1150
    93, 40385.6685
    94, 39552.1150
    94, 39552.1150
    94, 39552.1150
    94, 39552.1150
    94, 39552.1150
    95, 38744.3158
    95, 38744.3158
    96, 37961.2165
    96, 37961.2165
    97, 37201.8163
    98, 36465.1646
   100, 35056.5381
   101, 34382.8876
   102, 33728.6292
   104, 32475.3630
   105, 31874.9780
   107, 30723.4980
   109, 29633.8007
   111, 28601.5268
   113, 27622.6958
   116, 26246.7749
   119, 24971.9497
   121, 24173.3897
   124, 23046.0628
   127, 21996.4082
   130, 21017.4242
   135, 19526.2200
   137, 18974.2195
   142, 17693.2150
   147, 16538.6564
   151, 15695.0961
   156, 14729.0949
   161, 13850.2805
   165, 13203.0824
   169, 12600.5631
   172, 12175.5491
   174, 11904.1391
   175, 11771.8530
   175, 11771.8530
   176, 11641.7783
   176, 11641.7783
   177, 11513.8656
   177, 11513.8656
   177, 11513.8656
   177, 11513.8656
   177, 11513.8656
   178, 11388.0672
   178, 11388.0672
   178, 11388.0672
   179, 11264.3365
   179, 11264.3365
   179, 11264.3365
   179, 11264.3365
   180, 11142.6282
   180, 11142.6282
   180, 11142.6282
   180, 11142.6282
   180, 11142.6282
   181, 11022.8984
   181, 11022.8984
